pH,Chlorine_Level,Turbidity,NPK_Ratio,Conductivity,Industrial_Waste,Lead_Concentration,Flow_Rate,Water_Pressure,Road_Segment_ID,Terminal_Point_A,Terminal_Point_B,Road_Level,Capacity,Speed_Limit,Pipe_Diameter,Pipe_Length,Pipe_Age,Temperature,Humidity,Barometric_Pressure,Wind_Speed,Weather,Toxication_Level,Water_Quality_Label
6.87,0.27,4.5,8.29,670.42,74.79,0.0199,73.66,85.68,1408,48,13,Arterial,1503,60,794.35,495.17,43,0.92,31.13,1018.29,8.46,Sunny,8.24,Safe
7.11,0.23,3.71,0.75,678.16,32.32,0.0359,102.88,82.09,1187,9,76,Arterial,2353,30,1138.95,255.02,11,18.7,99.48,1027.7,14.69,Cloudy,28.86,Safe
7.55,1.35,4.86,1.48,563.98,79.89,0.0027,158.58,68.44,1896,24,27,Arterial,1683,30,1130.62,164.59,79,26.65,27.75,983.37,19.87,Cloudy,83.34,Unsafe
7.36,0.68,3.0,6.78,62.91,60.76,0.0236,119.66,54.9,1690,39,34,Arterial,2075,60,101.25,179.46,60,6.33,50.63,1018.4,32.05,Cloudy,29.29,Safe
7.08,1.45,1.21,3.27,1233.16,31.71,0.0131,163.0,55.68,1347,9,51,Local,1018,40,798.47,339.75,21,1.16,37.68,1024.87,19.52,Sunny,8.63,Safe
7.72,1.05,1.64,9.54,211.76,35.63,0.0042,89.64,26.96,1221,15,75,Arterial,874,30,798.98,532.35,31,43.27,33.87,1042.18,40.8,Cloudy,62.0,Unsafe
6.78,0.34,1.6,4.64,1493.45,73.15,0.0232,64.61,25.18,1579,1,28,Local,875,60,828.1,178.85,81,35.56,96.06,1036.7,48.0,Stormy,56.18,Unsafe
7.08,4.56,1.63,4.58,1170.79,55.01,0.0086,54.62,87.48,1181,75,71,Collector,2121,50,1129.31,737.69,4,24.06,89.11,1025.3,36.39,Rainy,68.98,Unsafe
7.23,0.24,3.36,6.94,891.01,66.84,0.0129,35.02,52.69,1930,23,99,Collector,817,30,380.27,936.17,65,23.72,10.7,1036.11,0.62,Rainy,49.49,Safe
7.41,3.73,2.65,7.79,274.18,15.83,0.0254,16.99,24.32,1067,9,35,Local,2852,30,321.77,532.07,13,32.72,42.53,1021.11,49.56,Stormy,99.5,Unsafe
8.07,0.93,1.93,5.02,797.32,78.7,0.0487,20.1,73.04,1618,6,20,Arterial,1876,70,601.55,371.71,55,32.43,69.2,1022.43,38.43,Rainy,24.98,Safe
6.9,4.58,0.75,2.53,428.61,32.04,0.0342,61.49,74.66,1249,12,75,Arterial,2748,30,399.3,701.97,15,3.9,52.71,1003.87,37.95,Sunny,41.33,Safe
7.53,4.49,0.11,7.85,415.87,61.99,0.014,62.9,38.2,1324,54,85,Arterial,1741,50,417.38,693.65,41,10.68,98.6,1015.61,24.8,Rainy,30.96,Safe
7.68,3.34,1.09,3.54,1252.82,11.47,0.0191,82.54,52.86,1558,15,2,Local,2352,40,335.12,818.0,61,27.26,74.41,989.31,0.77,Rainy,82.04,Unsafe
6.59,3.43,0.54,2.16,601.93,32.14,0.0203,122.41,65.87,1067,3,21,Arterial,1599,30,821.87,933.76,48,32.71,64.8,1014.98,25.45,Sunny,34.32,Safe
7.72,0.23,3.93,6.5,703.55,64.89,0.0077,154.27,67.7,1764,1,91,Local,2774,50,894.38,348.52,38,-2.43,45.53,1005.17,9.21,Cloudy,6.16,Safe
6.84,4.93,0.56,1.36,1272.3,27.42,0.008,47.56,60.89,1850,13,42,Local,1628,70,163.97,138.76,67,30.43,25.29,998.07,33.71,Stormy,3.56,Safe
6.63,4.41,3.62,9.73,177.3,88.03,0.0074,154.26,49.14,1667,97,22,Collector,2314,30,968.69,906.57,77,-4.27,73.9,1033.47,0.88,Sunny,75.55,Unsafe
8.4,4.5,1.93,6.51,912.2,66.12,0.0261,36.41,25.51,1342,75,89,Collector,2116,30,358.23,191.62,27,9.26,13.32,1007.71,22.41,Rainy,80.25,Unsafe
8.43,3.36,0.37,9.87,888.41,87.03,0.0337,197.85,21.78,1247,62,58,Collector,1827,40,201.92,360.64,60,42.65,93.48,1021.82,41.55,Sunny,37.44,Safe
8.12,1.85,4.06,3.72,666.56,39.54,0.0295,64.16,56.76,1321,80,36,Collector,908,30,575.39,427.45,5,16.7,44.53,1001.87,48.96,Stormy,39.28,Safe
7.11,4.49,2.9,9.73,1253.17,3.4,0.0489,169.09,36.24,1731,3,95,Local,2652,40,755.82,861.17,19,19.58,59.67,1009.87,48.99,Stormy,17.23,Safe
6.7,1.6,1.18,1.88,1417.19,57.61,0.0063,46.19,95.08,1010,16,16,Collector,1736,50,879.81,588.45,64,31.98,46.46,995.47,46.31,Rainy,37.15,Safe
7.87,2.9,4.47,0.89,724.74,33.92,0.0493,190.62,71.23,1110,32,37,Arterial,1295,70,740.49,601.86,21,24.2,42.85,1012.41,22.8,Cloudy,27.44,Safe
7.38,0.68,0.23,0.81,711.41,44.82,0.0233,167.06,66.84,1861,90,21,Local,1385,40,1128.54,772.8,36,10.15,98.46,1026.16,30.9,Sunny,81.82,Unsafe
6.74,4.63,1.01,4.92,777.99,68.11,0.0109,78.28,52.52,1597,28,93,Local,536,30,73.46,998.21,51,24.5,60.65,1008.61,2.37,Cloudy,38.01,Safe
7.49,0.88,3.76,1.29,1098.53,70.07,0.0472,90.08,46.36,1124,91,65,Collector,2464,40,1098.16,964.76,92,22.19,89.28,1011.96,24.59,Cloudy,84.33,Unsafe
6.57,1.28,3.55,5.37,1018.69,2.76,0.0234,10.73,34.38,1464,81,59,Local,782,40,893.37,139.34,17,1.43,27.52,1009.1,40.45,Sunny,16.75,Safe
8.32,2.88,1.45,3.61,373.11,76.93,0.0174,57.77,24.81,1279,48,67,Arterial,1986,30,1126.52,984.7,23,32.22,58.79,1019.22,4.72,Rainy,43.59,Safe
7.02,3.87,0.31,3.69,142.65,49.35,0.0107,64.97,70.76,1229,48,26,Arterial,570,60,336.73,727.12,63,25.39,53.72,1004.93,17.41,Stormy,11.14,Safe
7.83,3.17,4.29,6.54,1426.42,55.67,0.0134,96.02,82.34,1355,27,35,Collector,1435,60,268.68,639.9,79,-1.83,45.12,983.64,25.51,Stormy,99.52,Unsafe
7.12,1.31,1.57,2.05,428.55,29.8,0.049,36.42,88.62,1981,12,9,Local,1414,70,1196.27,402.55,64,2.21,54.2,1033.46,27.48,Sunny,60.15,Unsafe
7.54,0.2,0.98,7.78,975.97,42.08,0.0152,100.97,77.94,1460,35,92,Local,1562,60,562.47,992.24,82,1.54,31.76,998.51,25.37,Sunny,36.15,Safe
7.59,3.83,2.58,6.03,1251.24,71.04,0.0489,137.01,91.76,1089,19,9,Arterial,1718,40,364.0,322.37,48,-1.51,81.39,1022.77,30.19,Cloudy,49.33,Safe
6.87,4.93,4.55,9.19,485.4,77.67,0.0165,80.54,98.62,1360,97,77,Arterial,1138,50,961.11,948.82,89,5.48,64.67,1039.34,40.1,Cloudy,2.45,Safe
8.44,4.09,0.22,3.97,971.38,38.71,0.0116,54.12,96.93,1436,17,23,Arterial,990,70,667.46,362.38,39,23.69,20.69,1029.83,43.55,Cloudy,9.69,Safe
8.05,2.41,3.83,9.84,206.46,69.11,0.0092,114.07,67.38,1484,9,53,Local,1186,60,763.07,150.59,88,1.09,53.58,1002.36,13.23,Cloudy,78.23,Unsafe
8.38,4.54,2.86,5.97,1456.4,25.8,0.0206,15.51,37.94,1082,46,49,Collector,841,30,112.98,633.18,66,5.98,94.9,1016.7,32.41,Cloudy,40.4,Safe
8.29,2.17,2.13,9.75,134.33,83.2,0.0118,74.76,28.51,1728,12,38,Arterial,2539,60,815.31,880.12,26,41.05,94.6,1011.97,35.61,Cloudy,24.16,Safe
7.7,2.72,3.72,0.76,685.35,60.98,0.0348,110.24,99.51,1082,33,3,Arterial,1072,40,845.36,948.21,17,26.22,99.08,989.88,13.23,Rainy,5.07,Safe
8.34,2.49,4.83,7.42,828.39,77.52,0.012,73.81,44.67,1628,79,21,Arterial,1049,50,207.92,821.01,35,23.41,29.92,1002.84,23.38,Stormy,77.77,Unsafe
6.68,2.35,1.15,8.26,1196.2,47.72,0.0418,75.63,22.72,1222,29,31,Collector,1344,60,906.3,403.22,67,6.87,82.31,1007.88,20.95,Rainy,36.45,Safe
6.89,3.92,0.72,1.01,225.64,22.91,0.0417,171.18,51.28,1912,13,61,Local,1208,50,130.16,777.39,72,20.97,63.34,987.95,15.97,Rainy,81.08,Unsafe
6.59,2.73,4.56,6.0,689.17,42.92,0.0143,187.46,79.85,1089,67,45,Arterial,1094,30,157.68,31.78,22,5.6,79.4,991.3,32.29,Cloudy,8.71,Safe
7.15,1.72,3.34,8.12,484.58,38.15,0.0377,167.2,91.26,1486,99,46,Collector,2442,40,770.72,191.87,3,21.27,68.35,1016.16,9.66,Sunny,31.94,Safe
7.28,1.44,2.19,5.83,502.42,33.27,0.0429,28.78,58.21,1631,58,15,Arterial,2814,40,1136.77,577.69,6,33.38,31.45,1043.03,28.04,Stormy,65.0,Unsafe
7.04,0.38,2.87,1.11,1179.24,21.22,0.0295,65.05,43.52,1683,85,81,Local,1864,30,558.34,291.11,51,25.99,18.36,1026.8,24.69,Cloudy,27.29,Safe
8.16,3.0,3.73,7.09,57.92,75.92,0.0183,145.15,82.27,1239,99,78,Collector,586,60,235.54,676.72,65,9.81,53.97,1023.65,13.69,Sunny,42.92,Safe
7.21,1.3,3.87,1.08,1136.17,8.64,0.022,195.13,60.3,1940,99,16,Local,977,40,907.4,691.29,67,30.03,44.81,1006.95,7.03,Rainy,69.59,Unsafe
7.06,0.91,4.6,8.27,1225.08,88.76,0.0393,56.03,26.88,1007,95,17,Local,892,50,728.14,619.8,14,12.58,47.17,1012.22,35.77,Cloudy,49.49,Safe
7.59,3.34,2.13,0.91,1356.98,17.5,0.0147,180.66,91.02,1509,77,26,Arterial,1416,30,1169.37,709.14,81,7.09,62.16,993.05,30.48,Rainy,74.17,Unsafe
6.78,3.47,1.47,1.81,958.98,97.99,0.0167,150.41,72.46,1063,96,78,Collector,1020,70,210.62,317.9,97,12.51,79.2,1048.14,13.22,Sunny,5.57,Safe
8.1,3.81,3.2,3.11,533.51,98.85,0.008,196.86,22.94,1907,63,45,Local,653,70,933.46,225.39,29,19.85,75.39,1033.16,2.44,Rainy,91.94,Unsafe
6.65,2.62,2.08,6.52,669.49,39.84,0.02,27.78,20.72,1831,82,22,Arterial,2030,60,350.4,20.49,60,31.74,52.94,984.09,43.63,Sunny,99.7,Unsafe
8.47,4.49,2.97,9.78,1456.12,98.78,0.0043,85.0,27.02,1368,18,67,Arterial,1602,50,1098.78,660.88,10,44.26,57.85,993.45,36.35,Stormy,94.03,Unsafe
8.04,4.69,2.1,1.62,1327.72,86.91,0.0161,100.84,85.76,1249,10,67,Collector,563,30,956.74,589.57,39,44.24,62.41,1021.7,37.76,Cloudy,23.46,Safe
6.9,4.08,0.76,1.86,722.11,8.24,0.0187,137.7,58.5,1537,80,79,Arterial,2446,60,574.89,339.15,21,30.64,78.21,1047.9,44.07,Cloudy,94.59,Unsafe
6.51,3.25,2.35,4.0,1417.44,94.73,0.0128,134.25,46.82,1527,87,68,Arterial,2798,60,101.52,353.66,33,-1.63,89.27,1017.03,13.21,Stormy,20.95,Safe
8.13,1.66,3.45,8.44,1243.28,4.25,0.0051,182.21,39.94,1623,31,32,Local,2036,30,836.65,219.39,49,22.66,57.4,1043.06,31.67,Cloudy,50.3,Unsafe
7.91,4.92,4.0,4.94,1356.58,18.19,0.0261,169.35,60.55,1059,53,16,Local,2366,60,581.13,350.64,96,4.4,87.69,1006.49,45.61,Rainy,80.13,Unsafe
7.96,1.52,2.47,3.56,1040.32,58.46,0.0433,20.52,26.64,1553,98,60,Local,1052,60,967.7,309.66,13,11.83,94.06,999.53,30.45,Stormy,67.22,Unsafe
8.04,1.17,0.83,5.83,1293.6,8.07,0.0168,102.44,69.37,1544,44,30,Arterial,1992,40,901.68,972.26,89,21.8,27.91,1046.68,5.89,Sunny,48.95,Safe
6.65,2.32,2.07,2.97,1343.06,16.17,0.0118,87.34,50.44,1950,29,97,Collector,1267,70,910.5,506.75,66,11.34,51.93,992.03,44.28,Stormy,28.06,Safe
7.22,0.47,3.93,4.31,183.42,95.35,0.0143,199.46,88.68,1912,49,37,Arterial,985,50,247.16,586.07,36,34.28,39.7,1031.55,20.61,Sunny,97.98,Unsafe
6.73,4.9,2.06,3.66,1449.56,99.47,0.0431,91.18,80.35,1324,80,8,Collector,1069,70,551.88,30.73,13,-3.08,22.71,1009.73,16.57,Rainy,69.88,Unsafe
8.23,3.02,3.48,8.14,533.74,79.81,0.0264,139.7,21.47,1899,57,31,Collector,1948,30,590.56,829.14,2,14.69,33.78,992.13,15.54,Sunny,19.9,Safe
7.75,2.87,2.54,9.28,687.85,51.52,0.0065,64.04,33.32,1706,94,94,Collector,2603,70,952.57,757.59,2,31.03,47.04,1007.52,28.01,Stormy,41.02,Safe
7.16,3.35,1.21,7.72,1198.26,90.03,0.0355,126.78,57.92,1064,89,3,Local,1542,70,516.49,518.26,93,44.09,56.8,1048.28,34.04,Stormy,40.86,Safe
6.63,2.59,3.98,4.67,1014.1,11.19,0.0077,49.26,72.69,1455,37,84,Local,2316,70,1045.18,779.52,73,22.64,56.23,995.44,12.19,Rainy,90.14,Unsafe
7.12,0.35,0.42,5.29,1344.94,94.29,0.003,124.69,77.21,1274,48,5,Collector,1054,40,366.34,172.07,30,37.17,39.6,1048.82,32.87,Stormy,7.94,Safe
7.15,3.14,2.62,1.69,630.83,35.16,0.0128,174.96,85.3,1153,83,46,Arterial,1073,70,1184.04,453.2,34,19.57,95.73,1041.37,31.19,Cloudy,32.48,Safe
7.96,3.64,1.04,7.6,591.27,86.15,0.0084,13.66,23.94,1547,96,43,Arterial,1202,70,151.61,247.53,36,44.97,14.71,1012.95,38.63,Rainy,17.93,Safe
7.78,2.2,0.34,6.17,95.95,66.84,0.0302,105.87,21.48,1493,59,69,Local,774,70,621.62,596.3,39,39.43,78.81,1021.89,3.24,Rainy,94.9,Unsafe
8.27,3.84,2.51,9.07,720.95,96.03,0.0242,196.65,68.04,1307,12,66,Collector,2416,30,727.16,626.22,26,27.09,92.9,989.38,43.85,Sunny,57.36,Unsafe
7.44,1.29,2.5,2.41,1099.9,86.47,0.0362,40.26,77.91,1128,15,51,Arterial,810,50,558.88,985.57,97,21.91,79.42,1040.42,33.09,Rainy,67.88,Unsafe
6.74,1.26,3.53,7.72,486.71,88.79,0.0256,44.85,82.94,1848,56,90,Collector,2374,70,680.62,28.91,56,41.48,21.33,997.09,43.71,Cloudy,17.83,Safe
7.93,0.97,3.72,7.0,720.95,63.18,0.021,99.46,32.46,1099,79,16,Arterial,879,40,945.34,364.49,63,29.01,88.22,1012.13,0.07,Cloudy,46.94,Safe
8.02,1.99,3.64,3.03,368.13,83.32,0.0263,175.49,97.5,1805,84,40,Collector,845,30,245.83,948.17,32,39.64,37.09,1044.17,1.78,Cloudy,61.32,Unsafe
7.62,4.27,2.05,6.84,1170.54,75.71,0.0217,116.92,38.35,1890,60,49,Collector,2562,60,1139.92,969.5,52,17.76,31.6,990.37,26.92,Rainy,18.72,Safe
8.04,4.17,3.16,9.28,137.74,16.16,0.0019,106.65,40.03,1859,70,96,Arterial,1495,60,501.34,574.17,28,17.21,94.78,1047.12,27.02,Rainy,89.23,Unsafe
7.49,2.04,2.88,9.23,1072.81,64.86,0.034,26.48,32.34,1767,19,66,Arterial,1278,40,765.73,571.67,84,43.71,54.98,1014.63,29.54,Cloudy,0.31,Safe
7.55,3.03,2.11,7.34,599.46,14.82,0.0481,192.78,23.46,1397,53,91,Collector,510,30,557.6,429.77,12,36.97,50.0,1020.93,28.73,Stormy,17.02,Safe
7.36,3.66,2.99,0.96,110.31,86.95,0.0211,75.95,84.78,1684,29,45,Arterial,2265,60,739.35,220.97,16,21.97,32.55,1043.82,15.46,Cloudy,94.94,Unsafe
6.55,1.36,4.74,8.79,1287.53,6.59,0.0212,57.84,20.45,1149,62,79,Collector,1459,50,883.68,83.95,46,39.66,57.06,985.04,5.22,Stormy,56.62,Unsafe
6.72,1.01,0.96,6.75,757.2,98.7,0.0023,88.23,57.1,1291,27,23,Local,2270,30,633.24,389.8,66,-0.72,54.56,1024.92,46.16,Sunny,39.57,Safe
6.56,4.87,4.53,3.45,919.01,40.06,0.0445,88.69,27.36,1245,99,86,Collector,1841,70,178.27,351.79,92,14.37,41.72,1011.32,39.65,Cloudy,56.31,Unsafe
7.77,3.16,0.27,2.28,1111.44,17.06,0.0465,97.12,23.58,1778,97,84,Arterial,1875,50,433.18,558.05,16,11.38,40.38,988.53,30.4,Rainy,66.53,Unsafe
7.13,4.91,1.54,1.6,999.86,93.57,0.0407,140.82,94.77,1721,83,1,Arterial,2726,50,975.58,353.82,93,39.1,34.35,1013.71,26.27,Sunny,49.51,Safe
7.52,1.82,1.44,0.98,1109.74,4.54,0.0053,174.91,86.03,1762,40,35,Arterial,1765,50,705.18,436.09,75,18.49,75.64,989.11,20.01,Cloudy,48.53,Safe
8.32,3.57,3.13,7.66,1155.31,47.01,0.045,20.89,51.59,1111,36,93,Local,1496,40,922.27,609.17,91,18.39,89.37,1011.28,15.27,Stormy,39.27,Safe
7.0,1.27,0.66,2.74,904.27,77.02,0.0012,103.25,56.69,1387,69,22,Local,2466,40,1071.38,708.87,2,0.47,63.84,980.24,7.81,Sunny,11.38,Safe
7.32,1.45,4.41,0.73,580.17,31.68,0.0222,88.66,89.45,1179,20,29,Collector,1070,60,554.46,22.95,39,25.28,58.41,1041.33,28.01,Sunny,15.52,Safe
8.01,2.66,4.14,4.27,402.56,52.88,0.025,12.07,83.75,1297,98,62,Arterial,1343,60,455.89,219.03,14,18.52,77.1,1018.01,34.62,Sunny,24.24,Safe
6.96,1.73,3.26,5.08,1359.21,70.04,0.0417,165.13,75.33,1351,48,86,Collector,1378,60,178.17,196.85,74,2.71,61.96,1046.89,31.56,Sunny,79.4,Unsafe
6.65,1.0,2.29,2.11,1456.39,95.2,0.0375,29.82,62.93,1334,71,11,Collector,2640,40,361.33,423.22,89,35.89,37.82,1009.03,0.03,Cloudy,39.44,Safe
7.08,1.46,4.66,0.92,568.61,10.27,0.0399,31.8,68.63,1478,98,85,Arterial,2832,30,534.84,89.34,83,25.09,49.1,1044.89,2.57,Stormy,76.95,Unsafe
6.82,0.37,4.15,2.3,212.85,15.72,0.0434,19.18,51.47,1733,55,75,Arterial,1572,70,202.02,903.02,20,41.97,46.67,1017.95,38.82,Stormy,71.63,Unsafe
8.36,3.58,2.5,6.95,372.68,50.89,0.0238,48.08,62.25,1269,58,86,Arterial,2152,70,180.12,429.48,31,20.31,47.52,980.65,27.89,Cloudy,73.45,Unsafe
8.12,2.56,3.51,1.28,1022.47,41.85,0.039,43.6,63.18,1013,92,51,Local,1556,30,562.03,833.74,96,26.44,64.29,1018.94,33.9,Sunny,70.93,Unsafe
7.77,0.65,2.83,5.77,300.75,41.08,0.0034,76.09,89.19,1558,39,46,Collector,1538,40,478.24,922.9,86,12.52,57.88,1006.55,33.46,Sunny,2.91,Safe
8.24,1.02,2.94,1.89,1181.18,29.7,0.0222,135.26,37.49,1596,86,9,Collector,2863,70,1023.53,211.74,14,21.43,13.82,1044.22,38.62,Stormy,88.65,Unsafe
8.11,0.69,1.65,2.36,1388.39,56.07,0.0015,20.32,39.73,1336,41,7,Local,1294,50,82.34,500.77,81,12.23,18.37,1041.76,11.71,Rainy,33.69,Safe
6.87,3.14,2.31,4.23,1447.29,88.33,0.0458,173.45,36.88,1626,50,4,Local,1102,50,927.65,970.44,59,-0.0,10.28,1025.05,18.66,Stormy,72.93,Unsafe
8.29,0.65,0.39,1.46,63.52,16.09,0.0479,72.05,66.33,1450,59,35,Collector,798,60,289.73,822.82,41,-1.0,90.51,1008.65,43.64,Cloudy,38.2,Safe
7.58,3.82,1.79,2.15,1439.32,21.53,0.0042,125.26,75.61,1275,56,12,Local,2090,60,1061.46,52.33,50,12.02,45.28,1043.28,20.84,Stormy,58.53,Unsafe
8.11,0.3,3.48,3.82,1123.28,67.08,0.0266,12.28,39.08,1994,53,91,Local,800,50,375.99,968.76,98,-0.38,52.2,990.63,26.47,Cloudy,55.43,Unsafe
8.29,1.4,4.77,3.63,171.87,5.62,0.0163,79.5,74.16,1029,63,93,Arterial,2375,30,683.21,32.95,74,4.64,11.79,984.64,46.19,Sunny,95.12,Unsafe
7.14,4.48,4.82,7.62,652.1,67.38,0.0171,10.39,70.25,1565,41,16,Collector,2612,50,341.82,43.65,86,3.4,46.59,1019.92,25.93,Cloudy,87.86,Unsafe
6.72,3.65,2.78,1.21,1065.07,31.45,0.0225,41.44,45.69,1161,30,50,Arterial,2129,30,523.74,647.81,17,32.02,70.84,1015.88,24.48,Sunny,88.67,Unsafe
6.96,0.55,3.03,8.67,1437.19,35.79,0.0063,95.09,38.39,1996,55,54,Local,2299,50,323.93,637.37,99,17.88,33.0,1043.24,7.96,Cloudy,99.35,Unsafe
7.35,4.14,0.93,8.25,288.01,40.55,0.009,111.67,90.54,1901,85,77,Arterial,932,30,479.06,828.68,57,-2.05,67.92,995.67,21.97,Rainy,58.37,Unsafe
8.14,2.57,3.48,7.78,235.21,34.96,0.0289,39.06,65.57,1123,61,71,Collector,1872,40,1044.59,310.63,28,6.19,17.21,985.52,43.07,Stormy,67.57,Unsafe
8.22,4.26,0.35,3.44,734.9,84.12,0.0009,151.59,76.31,1095,40,61,Collector,2944,40,848.88,488.83,34,-1.68,58.19,1027.77,8.54,Rainy,72.47,Unsafe
6.51,3.08,1.42,8.32,1453.74,94.61,0.03,45.91,94.03,1200,73,94,Collector,1788,40,434.95,856.08,86,5.85,97.71,986.06,15.55,Stormy,40.06,Safe
7.52,3.47,3.34,2.24,1458.5,54.8,0.0159,32.01,36.43,1489,36,10,Local,1760,40,1032.61,758.0,8,28.17,95.78,1009.86,45.05,Sunny,28.66,Safe
7.33,4.97,1.55,1.68,380.48,58.19,0.0416,73.35,48.04,1352,13,37,Arterial,2375,30,109.1,430.72,46,34.75,83.47,1032.46,48.28,Stormy,79.03,Unsafe
6.94,1.32,0.25,0.93,513.05,7.05,0.03,114.77,54.76,1962,46,39,Local,2511,50,860.95,853.44,10,36.65,52.48,1043.12,21.94,Rainy,46.2,Safe
6.74,3.19,4.16,9.42,1366.65,71.32,0.0354,197.89,38.63,1858,97,30,Arterial,2764,30,770.42,487.59,82,2.94,11.64,1024.88,0.57,Stormy,0.51,Safe
7.18,2.41,1.55,3.43,1115.52,58.41,0.0057,89.56,87.23,1118,90,46,Local,1608,40,480.7,535.16,99,29.76,62.04,983.25,46.03,Sunny,33.81,Safe
8.39,0.39,0.32,9.22,1459.86,5.04,0.0133,90.94,26.67,1607,1,76,Local,2140,70,524.45,590.11,22,0.75,18.4,1001.38,7.96,Sunny,22.89,Safe
7.15,0.27,0.37,3.09,1345.07,19.84,0.0498,21.27,39.13,1055,60,97,Collector,2752,60,485.94,378.92,98,43.01,28.96,984.93,30.93,Sunny,66.78,Unsafe
7.54,0.77,1.26,9.12,361.89,20.19,0.0217,155.51,35.28,1484,2,47,Arterial,2824,30,787.18,294.18,44,15.35,63.94,980.44,25.61,Rainy,78.84,Unsafe
7.91,3.32,0.89,9.09,1151.6,17.1,0.0179,44.54,96.27,1904,36,65,Arterial,2559,40,323.69,682.09,64,-3.23,45.04,1049.82,2.75,Sunny,46.73,Safe
7.23,2.92,3.87,9.27,120.42,65.86,0.0437,151.51,70.19,1505,45,23,Arterial,1843,70,1193.91,165.58,26,1.78,20.92,989.22,23.42,Cloudy,58.21,Unsafe
8.44,2.86,1.61,5.21,1235.86,92.84,0.0017,183.02,77.3,1511,94,25,Collector,1923,60,53.34,505.73,86,36.84,28.63,1025.9,19.19,Sunny,0.64,Safe
8.42,0.35,4.02,8.73,922.26,76.3,0.0267,155.96,28.67,1343,80,16,Local,2370,30,585.76,325.37,39,12.06,38.75,999.32,36.64,Stormy,48.38,Safe
7.0,2.45,0.87,9.53,1436.35,47.74,0.0105,132.07,35.52,1448,9,77,Arterial,1352,60,313.73,386.78,26,-3.94,87.62,1029.29,44.2,Cloudy,33.92,Safe
7.49,4.64,2.46,3.58,1442.05,40.41,0.0184,124.74,84.79,1080,15,35,Arterial,751,50,457.64,466.93,85,26.32,93.9,993.03,6.4,Sunny,91.46,Unsafe
7.1,2.11,3.44,4.48,123.68,38.65,0.01,96.19,65.42,1871,39,64,Arterial,2967,60,1042.57,211.31,24,43.53,99.36,999.61,14.22,Rainy,98.46,Unsafe
